# Kinnekulle Ring planar centerline, L = 2052.2 m
# from OSM (way["highway"="raceway"](58.52,13.33,58.60,13.45)); (c) OpenStreetMap contributors, ODbL 1.0
# smoothed with a periodic Gaussian, sigma = 6 m; elevation dropped
s_m,x_m,y_m,psi_rad,kappa_1pm
575.000000,114.639372,7.977726,-2.321119,0.020461
580.000000,111.410009,4.163135,-2.230009,0.015500
585.000000,108.485807,0.108573,-2.168897,0.009098
590.000000,105.749773,-4.076095,-2.134996,0.004947
595.000000,103.125453,-8.331882,-2.112606,0.004415
600.000000,100.596588,-12.645051,-2.088068,0.005424
605.000000,98.184882,-17.024748,-2.060902,0.005182
610.000000,95.884283,-21.463890,-2.037834,0.004121
615.000000,93.679960,-25.951636,-2.016918,0.004390
620.000000,91.572475,-30.485650,-1.994700,0.004222
625.000000,89.559037,-35.062261,-1.978165,0.002302
630.000000,87.598162,-39.661701,-1.971209,0.000612
635.000000,85.653353,-44.267970,-1.970196,-0.000121
640.000000,83.705956,-48.873145,-1.972244,-0.000734
645.000000,81.741264,-53.470961,-1.977587,-0.001355
650.000000,79.746688,-58.055885,-1.985051,-0.001586
655.000000,77.714752,-62.624369,-1.993926,-0.002072
660.000000,75.634870,-67.171199,-2.007612,-0.003587
665.000000,73.470267,-71.678190,-2.032070,-0.006345
670.000000,71.164714,-76.114465,-2.073093,-0.010196
675.000000,68.634053,-80.425695,-2.132254,-0.013157
680.000000,65.833327,-84.566302,-2.201397,-0.014297
685.000000,62.740492,-88.493330,-2.272747,-0.014097
690.000000,59.385496,-92.199155,-2.340531,-0.012835
695.000000,55.795631,-95.678276,-2.399633,-0.010858
700.000000,52.025590,-98.961690,-2.450351,-0.009541
705.000000,48.099299,-102.056734,-2.495283,-0.008380
710.000000,44.050096,-104.989390,-2.534000,-0.007227
715.000000,39.891889,-107.765327,-2.572282,-0.008482
720.000000,35.621439,-110.364873,-2.622110,-0.011530
725.000000,31.207527,-112.711866,-2.682477,-0.012094
730.000000,26.664688,-114.798729,-2.739946,-0.010931
735.000000,22.010163,-116.623112,-2.794452,-0.010953
740.000000,17.265813,-118.199301,-2.848741,-0.010660
745.000000,12.441619,-119.511036,-2.901674,-0.010647
750.000000,7.556287,-120.572569,-2.956139,-0.011190
755.000000,2.617654,-121.348518,-3.014305,-0.012132
760.000000,-2.357768,-121.834473,-3.078032,-0.013421
765.000000,-7.354724,-121.972539,-3.148795,-0.014891
770.000000,-12.348456,-121.752007,-3.227546,-0.016718
775.000000,-17.303989,-121.100193,-3.315988,-0.018555
780.000000,-22.181172,-120.008698,-3.411566,-0.019510
785.000000,-26.925121,-118.436000,-3.508671,-0.019324
790.000000,-31.499730,-116.423650,-3.606710,-0.020215
795.000000,-35.841027,-113.948341,-3.711813,-0.021452
800.000000,-39.903056,-111.037486,-3.813717,-0.018642
805.000000,-43.674841,-107.757466,-3.894354,-0.013785
810.000000,-47.213769,-104.226647,-3.954864,-0.010776
815.000000,-50.550711,-100.503962,-4.007365,-0.010492
820.000000,-53.690686,-96.613781,-4.059332,-0.010036
825.000000,-56.632426,-92.571342,-4.104366,-0.007859
830.000000,-59.415695,-88.417955,-4.136903,-0.005040
835.000000,-62.093721,-84.195688,-4.153222,-0.001442
840.000000,-64.741208,-79.954134,-4.152109,0.001710
845.000000,-67.421396,-75.733208,-4.140207,0.002695
850.000000,-70.155689,-71.547132,-4.127666,0.002302
855.000000,-72.940236,-67.394308,-4.115207,0.002905
860.000000,-75.785241,-63.282723,-4.097525,0.004088
865.000000,-78.711986,-59.228945,-4.076887,0.004008
870.000000,-81.719368,-55.234620,-4.056649,0.004342
