# Gelleråsen Arena planar centerline, L = 2327.2 m
# from OSM (way["highway"="raceway"](59.33,14.45,59.40,14.55)); (c) OpenStreetMap contributors, ODbL 1.0
# smoothed with a periodic Gaussian, sigma = 6 m; elevation dropped
s_m,x_m,y_m,psi_rad,kappa_1pm
580.000000,193.842487,50.271649,-3.700587,0.024636
585.000000,189.446822,52.645545,-3.572865,0.025861
590.000000,184.786408,54.446627,-3.447737,0.024166
595.000000,179.938751,55.656234,-3.325808,0.025108
600.000000,174.979641,56.263001,-3.195285,0.026855
605.000000,169.984306,56.189853,-3.064183,0.025290
610.000000,165.034319,55.508221,-2.942077,0.024002
615.000000,160.210193,54.207245,-2.816453,0.026401
620.000000,155.589680,52.307904,-2.683797,0.025561
625.000000,151.248094,49.833327,-2.574868,0.017733
630.000000,147.135465,46.991810,-2.505739,0.010268
635.000000,143.183334,43.929688,-2.462484,0.007944
640.000000,139.358182,40.710458,-2.418439,0.009995
645.000000,135.699193,37.303840,-2.365970,0.010355
650.000000,132.214618,33.718839,-2.319582,0.008195
655.000000,128.886731,29.987700,-2.279057,0.008415
660.000000,125.715931,26.122323,-2.235756,0.008483
665.000000,122.708122,22.128551,-2.201255,0.005027
670.000000,119.800044,18.061314,-2.185331,0.001558
675.000000,116.928062,13.968431,-2.181483,0.000257
680.000000,114.062522,9.871032,-2.180946,0.000020
685.000000,111.197684,5.773142,-2.180912,0.000001
690.000000,108.332873,1.675233,-2.180912,-0.000000
695.000000,105.468063,-2.422677,-2.180912,-0.000000
700.000000,102.603252,-6.520586,-2.180912,-0.000000
705.000000,99.738442,-10.618495,-2.180912,-0.000000
710.000000,96.873631,-14.716405,-2.180912,-0.000000
715.000000,94.008821,-18.814314,-2.180912,0.000000
720.000000,91.144011,-22.912223,-2.180912,0.000000
725.000000,88.279200,-27.010133,-2.180912,-0.000000
730.000000,85.414390,-31.108042,-2.180912,0.000000
735.000000,82.549579,-35.205951,-2.180912,-0.000000
740.000000,79.684769,-39.303861,-2.180912,0.000000
745.000000,76.819958,-43.401770,-2.180912,0.000000
750.000000,73.955148,-47.499679,-2.180912,0.000000
755.000000,71.090337,-51.597589,-2.180913,-0.000001
760.000000,68.225483,-55.695467,-2.180959,-0.000026
765.000000,65.359807,-59.792772,-2.181567,-0.000285
770.000000,62.486970,-63.885053,-2.185617,-0.001575
775.000000,59.578668,-67.952144,-2.200779,-0.004658
780.000000,56.577494,-71.950939,-2.232419,-0.007886
785.000000,53.421533,-75.828449,-2.277121,-0.009877
790.000000,50.080524,-79.547356,-2.330620,-0.011409
795.000000,46.534296,-83.071087,-2.386399,-0.010430
800.000000,42.812548,-86.409216,-2.432533,-0.008157
805.000000,38.953488,-89.587900,-2.471834,-0.007753
810.000000,34.975983,-92.617062,-2.509040,-0.006929
815.000000,30.895085,-95.505640,-2.541217,-0.006266
820.000000,26.723738,-98.261856,-2.576296,-0.007989
825.000000,22.445883,-100.849382,-2.619926,-0.009164
830.000000,18.055418,-103.240662,-2.666496,-0.009576
835.000000,13.554273,-105.416331,-2.716968,-0.010451
840.000000,8.948558,-107.360866,-2.764898,-0.008132
845.000000,4.268365,-109.119769,-2.794320,-0.003772
850.000000,-0.445886,-110.785724,-2.807627,-0.002020
855.000000,-5.178254,-112.399538,-2.818907,-0.002602
860.000000,-9.930722,-113.953099,-2.832424,-0.002605
865.000000,-14.702505,-115.446357,-2.843139,-0.001692
870.000000,-19.487342,-116.897278,-2.851372,-0.001832
875.000000,-24.285892,-118.302110,-2.863548,-0.003036
880.000000,-29.104525,-119.636312,-2.879456,-0.003053
885.000000,-33.942301,-120.899475,-2.891237,-0.001579
890.000000,-38.790071,-122.123840,-2.895921,-0.000416
895.000000,-43.640780,-123.336530,-2.896902,-0.000057
900.000000,-48.491944,-124.547402,-2.897014,-0.000004
905.000000,-53.343147,-125.758114,-2.897020,-0.000000
910.000000,-58.194352,-126.968822,-2.897020,0.000000
915.000000,-63.045556,-128.179530,-2.897020,-0.000000
920.000000,-67.896761,-129.390238,-2.897020,0.000000
925.000000,-72.747966,-130.600946,-2.897020,-0.000000
930.000000,-77.599170,-131.811654,-2.897020,-0.000000
935.000000,-82.450375,-133.022362,-2.897020,-0.000000
940.000000,-87.301579,-134.233070,-2.897020,-0.000000
945.000000,-92.152784,-135.443778,-2.897020,0.000000
950.000000,-97.003989,-136.654486,-2.897020,-0.000000
955.000000,-101.855193,-137.865194,-2.897020,0.000000
960.000000,-106.706398,-139.075902,-2.897020,-0.000000
965.000000,-111.557602,-140.286610,-2.897021,-0.000001
970.000000,-116.408821,-141.497262,-2.897070,-0.000027
975.000000,-121.260289,-142.706913,-2.897717,-0.000311
980.000000,-126.114179,-143.906789,-2.902551,-0.001946
985.000000,-130.980847,-145.053322,-2.923828,-0.007296
990.000000,-135.887379,-146.010321,-2.986148,-0.018542
995.000000,-140.859028,-146.502420,-3.118515,-0.035146
1000.000000,-145.831199,-146.110352,-3.335798,-0.050801
1005.000000,-150.557415,-144.530512,-3.604275,-0.054408
1010.000000,-154.681056,-141.728011,-3.859058,-0.047915
1015.000000,-158.026332,-138.031562,-4.096519,-0.049127
1020.000000,-160.368636,-133.632025,-4.365149,-0.059136
1025.000000,-161.314458,-128.745339,-4.673070,-0.062110
1030.000000,-160.773542,-123.796635,-4.960032,-0.050788
1035.000000,-159.018947,-119.124778,-5.161883,-0.029329
1040.000000,-156.586585,-114.758969,-5.258466,-0.010995
1045.000000,-153.905968,-110.538525,-5.289245,-0.002528
1050.000000,-151.159547,-106.360362,-5.297196,-0.001382
1055.000000,-148.379238,-102.204701,-5.311198,-0.005047
1060.000000,-145.482938,-98.129692,-5.358617,-0.014503
1065.000000,-142.303456,-94.273909,-5.462510,-0.027638
1070.000000,-138.619880,-90.902688,-5.625577,-0.035757
1075.000000,-134.421248,-88.200956,-5.798036,-0.031605
1080.000000,-129.839375,-86.210106,-5.937682,-0.025259
1085.000000,-125.044622,-84.805431,-6.059942,-0.024184
1090.000000,-120.113641,-83.997500,-6.177073,-0.021830
1095.000000,-115.123974,-83.711220,-6.266295,-0.013125
1100.000000,-110.124586,-83.757253,-6.308452,-0.004466
1105.000000,-105.127347,-83.922344,-6.320065,-0.000772
1110.000000,-100.130953,-84.112210,-6.321278,0.000123
1115.000000,-95.134449,-84.299120,-6.319149,0.000781
1120.000000,-90.137226,-84.465429,-6.312428,0.002020
1125.000000,-85.138575,-84.578533,-6.295732,0.005122
1130.000000,-80.139052,-84.554863,-6.253371,0.012356
1135.000000,-75.151819,-84.223354,-6.172153,0.019529
1140.000000,-70.219435,-83.419389,-6.069862,0.020773
1145.000000,-65.398319,-82.105177,-5.962629,0.022632
1150.000000,-60.755091,-80.259359,-5.844947,0.023357
1155.000000,-56.351392,-77.896707,-5.746615,0.015292
1160.000000,-52.137881,-75.206175,-5.690226,0.008097
1165.000000,-48.045878,-72.333493,-5.653870,0.006930
1170.000000,-44.053961,-69.323198,-5.620236,0.006342
1175.000000,-40.161696,-66.185041,-5.589940,0.006072
1180.000000,-36.366722,-62.929963,-5.556114,0.007551
1185.000000,-32.696520,-59.534959,-5.519027,0.006746
1190.000000,-29.137009,-56.023797,-5.493598,0.003233
1195.000000,-25.637751,-52.452383,-5.484386,0.000804
1200.000000,-22.154615,-48.865217,-5.482514,0.000097
1205.000000,-18.674001,-45.275603,-5.482328,0.000006
1210.000000,-15.193572,-41.685811,-5.482319,-0.000000
1215.000000,-11.713147,-38.096013,-5.482319,-0.000000
1220.000000,-8.232723,-34.506216,-5.482319,0.000000
1225.000000,-4.752298,-30.916419,-5.482319,0.000000
1230.000000,-1.271873,-27.326622,-5.482319,0.000000
1235.000000,2.208552,-23.736825,-5.482319,0.000000
1240.000000,5.688976,-20.147028,-5.482319,0.000000
1245.000000,9.169401,-16.557230,-5.482319,0.000000
1250.000000,12.649826,-12.967433,-5.482319,-0.000000
1255.000000,16.130251,-9.377636,-5.482319,-0.000000
1260.000000,19.610675,-5.787839,-5.482319,0.000000
1265.000000,23.091092,-2.198034,-5.482310,0.000005
1270.000000,26.571385,1.391891,-5.482203,0.000051
1275.000000,30.050470,4.982987,-5.481443,0.000289
1280.000000,33.524139,8.579319,-5.478786,0.000817
1285.000000,36.982938,12.189947,-5.473555,0.001191
1290.000000,40.421471,15.819880,-5.468072,0.000903
1295.000000,43.843610,19.465281,-5.465011,0.000352
1300.000000,47.259103,23.116911,-5.464054,0.000073
1305.000000,50.672852,26.770172,-5.463749,0.000090
1310.000000,54.084405,30.425483,-5.462121,0.000745
1315.000000,57.478372,34.097094,-5.451744,0.003835
1320.000000,60.798539,37.835267,-5.417213,0.010615
1325.000000,63.908398,41.748701,-5.343888,0.018343
1330.000000,66.659460,45.920734,-5.237147,0.024411
1335.000000,68.862538,50.403969,-5.097284,0.031786
1340.000000,70.349491,55.169963,-4.917828,0.040012
1345.000000,70.845592,60.135452,-4.710315,0.041810
1350.000000,70.328643,65.097897,-4.507054,0.039698
1355.000000,68.833022,69.859511,-4.308889,0.039849
1360.000000,66.425961,74.230493,-4.112375,0.038533
1365.000000,63.237337,78.071289,-3.922294,0.038313
1370.000000,59.355396,81.207188,-3.721322,0.042095
1375.000000,54.922221,83.495919,-3.511352,0.040520
1380.000000,50.113830,84.839246,-3.329445,0.032327
1385.000000,45.151035,85.402206,-3.185284,0.025705
1390.000000,40.154855,85.317447,-3.070643,0.020173
1395.000000,35.191134,84.732784,-2.984043,0.014480
1400.000000,30.281645,83.789994,-2.926154,0.008639
1405.000000,25.417030,82.635340,-2.896604,0.003444
1410.000000,20.574042,81.392252,-2.887035,0.000776
1415.000000,15.736755,80.127085,-2.885261,0.000091
1420.000000,10.900293,78.858766,-2.885086,0.000006
1425.000000,6.063891,77.590214,-2.885077,0.000000
1430.000000,1.227492,76.321656,-2.885077,-0.000000
1435.000000,-3.608908,75.053099,-2.885077,-0.000000
1440.000000,-8.445308,73.784542,-2.885077,-0.000000
1445.000000,-13.281708,72.515985,-2.885077,-0.000000
1450.000000,-18.118107,71.247428,-2.885077,0.000000
1455.000000,-22.954507,69.978871,-2.885077,0.000000
1460.000000,-27.790907,68.710314,-2.885077,0.000000
1465.000000,-32.627307,67.441757,-2.885077,0.000000
