# Ring Knutstorp planar centerline, L = 2051.9 m
# from OSM (way(229220546)); (c) OpenStreetMap contributors, ODbL 1.0
# smoothed with a periodic Gaussian, sigma = 6 m; elevation dropped
s_m,x_m,y_m,psi_rad,kappa_1pm
565.000000,-262.470514,208.209041,-0.674901,-0.016483
570.000000,-258.697200,204.931029,-0.757914,-0.016216
575.000000,-255.205217,201.354178,-0.830810,-0.012708
580.000000,-251.937973,197.570203,-0.882022,-0.007500
585.000000,-248.819329,193.662162,-0.906515,-0.002677
590.000000,-245.753819,189.712155,-0.911784,0.000500
595.000000,-242.677545,185.770552,-0.900709,0.004050
600.000000,-239.523263,181.891344,-0.870380,0.007994
605.000000,-236.219341,178.139044,-0.828462,0.008006
610.000000,-232.775596,174.514408,-0.796531,0.004513
615.000000,-229.246387,170.972635,-0.780523,0.002407
620.000000,-225.672171,167.476272,-0.766637,0.003614
625.000000,-222.031387,164.049457,-0.740894,0.006608
630.000000,-218.283330,160.740620,-0.702529,0.008589
635.000000,-214.394013,157.599284,-0.655381,0.010368
640.000000,-210.350249,154.659926,-0.598288,0.012390
645.000000,-206.131301,151.978318,-0.535373,0.012426
650.000000,-201.758621,149.555265,-0.478000,0.010179
655.000000,-197.267229,147.359042,-0.436481,0.006482
660.000000,-192.707066,145.308861,-0.410593,0.004197
665.000000,-188.101921,143.361655,-0.389260,0.004692
670.000000,-183.452062,141.524063,-0.360507,0.006966
675.000000,-178.740751,139.850832,-0.320797,0.008644
680.000000,-173.963160,138.377913,-0.275855,0.009359
685.000000,-169.120875,137.134335,-0.226812,0.010080
690.000000,-164.223890,136.127439,-0.180530,0.007848
695.000000,-159.291105,135.311449,-0.152767,0.003337
700.000000,-154.345054,134.579063,-0.144713,0.000044
705.000000,-149.398790,133.848084,-0.152389,-0.003316
710.000000,-144.465944,133.032661,-0.180950,-0.008260
715.000000,-139.571106,132.015731,-0.231752,-0.011493
720.000000,-134.740915,130.727227,-0.290551,-0.011820
725.000000,-129.995921,129.153437,-0.349252,-0.011639
730.000000,-125.349221,127.309578,-0.405934,-0.010957
735.000000,-120.811098,125.212243,-0.458766,-0.010240
740.000000,-116.385937,122.886010,-0.509252,-0.010043
745.000000,-112.084238,120.338620,-0.560128,-0.010309
750.000000,-107.918333,117.574855,-0.611268,-0.010038
755.000000,-103.896404,114.605271,-0.660069,-0.009563
760.000000,-100.021913,111.445809,-0.708732,-0.010055
765.000000,-96.311656,108.095079,-0.760985,-0.010679
770.000000,-92.782825,104.553826,-0.812086,-0.009540
775.000000,-89.426438,100.848410,-0.856088,-0.008269
780.000000,-86.229535,97.004567,-0.898926,-0.009227
785.000000,-83.215534,93.015934,-0.951495,-0.011799
790.000000,-80.439147,88.858798,-1.012570,-0.012142
795.000000,-77.915386,84.543360,-1.069145,-0.010555
800.000000,-75.629108,80.097521,-1.123401,-0.011719
805.000000,-73.610275,75.524418,-1.191823,-0.015750
810.000000,-71.953225,70.808847,-1.272922,-0.015595
815.000000,-70.652330,65.982050,-1.335279,-0.008720
820.000000,-69.567595,61.101315,-1.361962,-0.002602
825.000000,-68.552564,56.205437,-1.368402,-0.000396
830.000000,-67.550404,51.306899,-1.369177,-0.000014
835.000000,-66.548868,46.408233,-1.368885,0.000154
840.000000,-65.542727,41.510512,-1.366910,0.000708
845.000000,-64.518547,36.616540,-1.360649,0.001920
850.000000,-63.444702,31.733273,-1.345748,0.004224
855.000000,-62.266742,26.874232,-1.315120,0.008327
860.000000,-60.885212,22.069613,-1.263533,0.011834
865.000000,-59.232984,17.351414,-1.203348,0.011812
870.000000,-57.300132,12.741016,-1.145490,0.011672
875.000000,-55.102776,8.250764,-1.081891,0.014112
880.000000,-52.588708,3.930531,-1.004872,0.016367
885.000000,-49.740169,-0.176722,-0.920897,0.017273
890.000000,-46.537153,-4.013426,-0.829752,0.019164
895.000000,-42.994488,-7.538759,-0.733508,0.018703
900.000000,-39.131938,-10.711079,-0.647796,0.015662
905.000000,-35.040358,-13.582914,-0.577294,0.012212
910.000000,-30.777579,-16.195163,-0.530158,0.006685
915.000000,-26.432006,-18.667994,-0.508902,0.002025
920.000000,-22.057163,-21.088884,-0.503944,0.000346
925.000000,-17.677460,-23.500979,-0.503215,0.000026
930.000000,-13.297189,-25.912044,-0.503171,0.000001
935.000000,-8.916898,-28.323069,-0.503170,-0.000000
940.000000,-4.536606,-30.734095,-0.503170,-0.000000
945.000000,-0.156314,-33.145120,-0.503170,0.000000
950.000000,4.223978,-35.556146,-0.503170,-0.000000
955.000000,8.604269,-37.967171,-0.503170,-0.000000
960.000000,12.984560,-40.378198,-0.503171,-0.000000
965.000000,17.364845,-42.789236,-0.503177,-0.000002
970.000000,21.745096,-45.200335,-0.503201,-0.000007
975.000000,26.125262,-47.611590,-0.503250,-0.000011
980.000000,30.505292,-50.023090,-0.503302,-0.000008
985.000000,34.885229,-52.434761,-0.503325,-0.000000
990.000000,39.265163,-54.846437,-0.503303,0.000009
995.000000,43.645203,-57.257920,-0.503224,0.000026
1000.000000,48.025703,-59.668567,-0.502749,0.000216
1005.000000,52.409321,-62.073536,-0.499368,0.001457
1010.000000,56.814484,-64.438656,-0.481644,0.006060
1015.000000,61.288687,-66.669466,-0.432420,0.014379
1020.000000,65.915809,-68.558364,-0.336390,0.023508
1025.000000,70.724225,-69.913351,-0.202601,0.029545
1030.000000,75.679882,-70.535685,-0.049082,0.031613
1035.000000,80.670683,-70.383910,0.115405,0.034698
1040.000000,85.557012,-69.362045,0.300645,0.039329
1045.000000,90.150218,-67.413919,0.502319,0.040765
1050.000000,94.265378,-64.590117,0.702949,0.039627
1055.000000,97.725388,-60.994183,0.902876,0.040723
1060.000000,100.412267,-56.789210,1.107364,0.040408
1065.000000,102.189052,-52.123968,1.293908,0.033604
1070.000000,103.185454,-47.229711,1.437519,0.023735
1075.000000,103.583906,-42.247787,1.534237,0.015393
1080.000000,103.600931,-37.248737,1.593392,0.008327
1085.000000,103.405008,-32.252742,1.620350,0.002905
1090.000000,103.131857,-27.260224,1.628057,0.000549
1095.000000,102.841406,-22.268668,1.629233,0.000056
1100.000000,102.548989,-17.277226,1.629336,0.000002
1105.000000,102.256444,-12.285791,1.629339,0.000000
1110.000000,101.963898,-7.294357,1.629339,0.000000
1115.000000,101.671353,-2.302923,1.629339,-0.000000
1120.000000,101.378807,2.688512,1.629339,-0.000000
1125.000000,101.086262,7.679946,1.629339,-0.000000
1130.000000,100.793716,12.671380,1.629339,0.000000
1135.000000,100.501170,17.662815,1.629339,0.000000
1140.000000,100.208623,22.654249,1.629340,0.000000
1145.000000,99.916066,27.645683,1.629344,0.000001
1150.000000,99.623496,32.637116,1.629329,-0.000013
1155.000000,99.331504,37.628582,1.628896,-0.000225
1160.000000,99.047210,42.620490,1.624830,-0.001740
1165.000000,98.813611,47.614935,1.604174,-0.007276
1170.000000,98.770559,52.613780,1.543315,-0.017558
1175.000000,99.164488,57.595123,1.429937,-0.027172
1180.000000,100.220619,62.476344,1.281360,-0.031700
1185.000000,102.024783,67.132660,1.114235,-0.035886
1190.000000,104.653428,71.373661,0.910060,-0.046755
1195.000000,108.169692,74.905071,0.646706,-0.057786
1200.000000,112.542554,77.291778,0.360915,-0.054859
1205.000000,117.395646,78.420635,0.102583,-0.049825
1210.000000,122.380749,78.325662,-0.151922,-0.053341
1215.000000,127.151707,76.888123,-0.427638,-0.055951
1220.000000,131.360851,74.225166,-0.698245,-0.051827
1225.000000,134.754269,70.571421,-0.942841,-0.046246
1230.000000,137.206909,66.228072,-1.161904,-0.041766
1235.000000,138.733997,61.476384,-1.358705,-0.036324
1240.000000,139.362524,56.521381,-1.513125,-0.025101
1245.000000,139.388721,51.523668,-1.606196,-0.012152
1250.000000,139.093425,46.532686,-1.643636,-0.003895
1255.000000,138.695680,41.548557,-1.653978,-0.000725
1260.000000,138.274498,36.566329,-1.655557,-0.000082
1265.000000,137.850607,31.584329,-1.655713,-0.000004
1270.000000,137.426507,26.602348,-1.655719,-0.000000
1275.000000,137.002404,21.620367,-1.655719,0.000000
1280.000000,136.578302,16.638385,-1.655719,0.000000
1285.000000,136.154215,11.656403,-1.655703,0.000010
1290.000000,135.730527,6.674386,-1.655446,0.000125
1295.000000,135.310719,1.692042,-1.653508,0.000797
1300.000000,134.913980,-3.292175,-1.644818,0.002864
1305.000000,134.589167,-8.281494,-1.622781,0.006120
1310.000000,134.420914,-13.278279,-1.582814,0.009878
1315.000000,134.497042,-18.276774,-1.521490,0.015113
1320.000000,134.963922,-23.252725,-1.424875,0.024066
1325.000000,136.022232,-28.133526,-1.275626,0.035834
1330.000000,137.925587,-32.747010,-1.076800,0.042202
1335.000000,140.737254,-36.868428,-0.873900,0.037837
1340.000000,144.262183,-40.405250,-0.704871,0.029864
1345.000000,148.291371,-43.358460,-0.568667,0.025265
1350.000000,152.652520,-45.797447,-0.450702,0.021611
1355.000000,157.257821,-47.739607,-0.357811,0.015408
1360.000000,161.994649,-49.337754,-0.299218,0.007777
1365.000000,166.794230,-50.738805,-0.275542,0.002423
1370.000000,171.611206,-52.079198,-0.269302,0.000388
1375.000000,176.431784,-53.406611,-0.268506,0.000038
1380.000000,181.252696,-54.732813,-0.268439,0.000001
1385.000000,186.073628,-56.058940,-0.268438,0.000000
1390.000000,190.894560,-57.385067,-0.268438,-0.000000
1395.000000,195.715492,-58.711194,-0.268438,-0.000000
1400.000000,200.536424,-60.037321,-0.268438,-0.000000
1405.000000,205.357357,-61.363448,-0.268438,-0.000000
1410.000000,210.178289,-62.689575,-0.268438,-0.000000
1415.000000,214.999221,-64.015702,-0.268438,-0.000000
1420.000000,219.820153,-65.341829,-0.268438,-0.000000
1425.000000,224.641081,-66.667973,-0.268462,-0.000016
1430.000000,229.461855,-67.994675,-0.268882,-0.000220
1435.000000,234.280371,-69.329536,-0.273351,-0.001907
1440.000000,239.084610,-70.714586,-0.295259,-0.007905
1445.000000,243.823372,-72.306136,-0.362973,-0.019252
1450.000000,248.390249,-74.332438,-0.487925,-0.030790
1455.000000,252.583447,-77.042497,-0.664651,-0.039157
1460.000000,256.183648,-80.496334,-0.868394,-0.041380
1465.000000,259.005698,-84.612499,-1.069654,-0.039079
1470.000000,260.968468,-89.201210,-1.257732,-0.035870
1475.000000,262.108334,-94.063302,-1.418466,-0.027242
1480.000000,262.565336,-99.039760,-1.524712,-0.016066
1485.000000,262.624495,-104.038466,-1.590044,-0.011131
1490.000000,262.381374,-109.031781,-1.648040,-0.012263
1495.000000,261.847161,-114.002277,-1.709770,-0.011873
1500.000000,261.013419,-118.931679,-1.761593,-0.008917
1505.000000,259.968045,-123.820826,-1.800345,-0.006740
1510.000000,258.748223,-128.669512,-1.832515,-0.006325
1515.000000,257.381465,-133.478849,-1.863570,-0.005880
1520.000000,255.873243,-138.245820,-1.887337,-0.003523
1525.000000,254.284377,-142.986620,-1.898786,-0.001131
1530.000000,252.664408,-147.716915,-1.901594,-0.000200
1535.000000,251.038965,-152.445332,-1.902019,-0.000016
1540.000000,249.412863,-157.173523,-1.902048,-0.000002
1545.000000,247.786666,-161.901682,-1.902107,-0.000032
1550.000000,246.159220,-166.629411,-1.902859,-0.000337
1555.000000,244.522822,-171.354045,-1.907120,-0.001618
1560.000000,242.843857,-176.063669,-1.921670,-0.004163
1565.000000,241.072397,-180.739185,-1.946700,-0.005493
1570.000000,239.175594,-185.365294,-1.970170,-0.003649
1575.000000,237.198201,-189.957629,-1.982529,-0.001383
1580.000000,235.183488,-194.533749,-1.988203,-0.001242
1585.000000,233.138459,-199.096384,-1.998870,-0.003425
1590.000000,231.008993,-203.620050,-2.026389,-0.007674
1595.000000,228.711738,-208.060396,-2.078050,-0.013354
1600.000000,226.114167,-212.330850,-2.160017,-0.019091
1605.000000,223.135275,-216.343188,-2.266520,-0.023438
1610.000000,219.699846,-219.971115,-2.390733,-0.025842
1615.000000,215.836968,-223.138854,-2.522120,-0.026860
1620.000000,211.575913,-225.745721,-2.665843,-0.031263
1625.000000,206.966178,-227.662904,-2.833884,-0.035151
1630.000000,202.095192,-228.761235,-3.002563,-0.031392
1635.000000,197.110657,-229.082480,-3.143791,-0.025353
1640.000000,192.123033,-228.777894,-3.258691,-0.020778
1645.000000,187.195183,-227.944833,-3.353839,-0.017538
1650.000000,182.356651,-226.690775,-3.437535,-0.016464
1655.000000,177.646390,-225.019654,-3.531139,-0.022160
1660.000000,173.148930,-222.844696,-3.673308,-0.036231
1665.000000,169.137045,-219.878262,-3.887315,-0.047260
1670.000000,165.894438,-216.091180,-4.121171,-0.044433
1675.000000,163.555896,-211.681680,-4.315233,-0.032664
1680.000000,161.962133,-206.947179,-4.445949,-0.020158
1685.000000,160.855292,-202.072687,-4.523495,-0.011343
1690.000000,160.034535,-197.140942,-4.564634,-0.005540
1695.000000,159.353681,-192.187601,-4.584024,-0.002687
1700.000000,158.746463,-187.224653,-4.597273,-0.002857
1705.000000,158.209259,-182.253655,-4.612804,-0.003162
1710.000000,157.748523,-177.274973,-4.625882,-0.001944
1715.000000,157.335435,-172.292076,-4.632065,-0.000610
1720.000000,156.939422,-167.307783,-4.633567,-0.000094
1725.000000,156.546392,-162.323255,-4.633723,0.000011
1730.000000,156.152903,-157.338762,-4.633265,0.000230
1735.000000,155.752259,-152.354842,-4.629593,0.001536
1740.000000,155.306825,-147.374798,-4.612516,0.005686
1745.000000,154.718949,-142.409921,-4.568842,0.011936
1750.000000,153.835515,-137.489940,-4.497376,0.016085
1755.000000,152.570957,-132.654255,-4.411482,0.018530
1760.000000,150.844714,-127.964856,-4.301948,0.026209
1765.000000,148.532208,-123.538106,-4.141154,0.038866
1770.000000,145.393033,-119.661146,-3.918937,0.048940
1775.000000,141.437965,-116.628996,-3.667977,0.049741
1780.000000,136.859335,-114.649072,-3.443587,0.039109
1785.000000,131.979035,-113.594288,-3.278860,0.027547
1790.000000,126.996374,-113.220150,-3.159321,0.021005
1795.000000,122.001671,-113.389069,-3.060043,0.019244
1800.000000,117.044842,-114.028371,-2.965078,0.018459
1805.000000,112.167905,-115.123445,-2.883945,0.013447
1810.000000,107.371003,-116.531923,-2.834873,0.006025
1815.000000,102.620973,-118.092913,-2.819806,0.000433
1820.000000,97.874483,-119.664740,-2.829761,-0.004686
1825.000000,93.091140,-121.119337,-2.868217,-0.010515
1830.000000,88.241021,-122.330505,-2.932642,-0.015025
1835.000000,83.313542,-123.170175,-3.011253,-0.015841
1840.000000,78.336472,-123.634608,-3.086813,-0.014255
1845.000000,73.338426,-123.726989,-3.156450,-0.013828
1850.000000,68.345197,-123.487832,-3.223944,-0.012683
1855.000000,63.377118,-122.929023,-3.276079,-0.008093
1860.000000,58.434295,-122.176430,-3.306004,-0.004111
1865.000000,53.509699,-121.311707,-3.323122,-0.003116
1870.000000,48.599047,-120.371024,-3.339991,-0.003815
1875.000000,43.708050,-119.333203,-3.361368,-0.004552
1880.000000,38.840532,-118.190341,-3.383432,-0.004146
1885.000000,33.999091,-116.941540,-3.404098,-0.004340
1890.000000,29.185217,-115.590505,-3.428380,-0.005383
1895.000000,24.410043,-114.108607,-3.455452,-0.005255
1900.000000,19.673635,-112.507034,-3.479959,-0.004574
1905.000000,14.977530,-110.790839,-3.504264,-0.005658
1910.000000,10.334963,-108.935552,-3.546342,-0.012290
1915.000000,5.814865,-106.801568,-3.624497,-0.016547
1920.000000,1.470753,-104.327474,-3.683959,-0.006760
1925.000000,-2.781101,-101.696681,-3.701434,-0.001369
1930.000000,-7.012054,-99.032284,-3.704514,-0.000142
1935.000000,-11.240001,-96.363115,-3.704779,-0.000010
1940.000000,-15.467759,-93.693646,-3.704793,-0.000000
1945.000000,-19.695513,-91.024170,-3.704793,0.000000
