quantity,value,unit
track,Kinnekulle Ring,-
line,optimal,-
lap_time,62.8,s
track_length,2051.9,m
path_length,2034.4,m
ideal_quasi_steady_lap,60.1,s
v_max,174.6,km/h
v_min,78.7,km/h
abs_n_max,2.60,m
line_tracking_rms,1.12,m
ay_peak,1.45,g
brake_peak,0.81,g
tie_rod_peak,1992,N
drive_power_peak,104,kW
