quantity,value,unit
track,Kinnekulle Ring,-
line,ocp,-
ocp_min_time_lower_bound,56.8,s
lap_time,60.9,s
track_length,2051.9,m
path_length,2033.0,m
ideal_quasi_steady_lap,58.0,s
v_max,171.7,km/h
v_min,86.1,km/h
abs_n_max,3.83,m
line_tracking_rms,1.15,m
ay_peak,1.52,g
brake_peak,0.67,g
tie_rod_peak,1708,N
drive_power_peak,88,kW
