quantity,value,unit
track,Ring Knutstorp,-
line,ocp,-
ocp_min_time_lower_bound,64.9,s
lap_time,71.0,s
track_length,2051.2,m
path_length,2022.3,m
ideal_quasi_steady_lap,67.0,s
v_max,167.1,km/h
v_min,52.9,km/h
abs_n_max,4.00,m
line_tracking_rms,1.32,m
ay_peak,1.55,g
brake_peak,0.79,g
tie_rod_peak,1697,N
drive_power_peak,88,kW
