quantity,value,unit
track,Gelleråsen Arena,-
line,ocp,-
ocp_min_time_lower_bound,70.6,s
lap_time,77.0,s
track_length,2326.6,m
path_length,2298.6,m
ideal_quasi_steady_lap,72.8,s
v_max,172.9,km/h
v_min,55.1,km/h
abs_n_max,3.79,m
line_tracking_rms,1.14,m
ay_peak,1.47,g
brake_peak,0.90,g
tie_rod_peak,1574,N
drive_power_peak,88,kW
