quantity,value,unit
track,Anderstorp Raceway,-
line,optimal,-
lap_time,115.4,s
track_length,4008.6,m
path_length,3986.3,m
ideal_quasi_steady_lap,110.8,s
v_max,193.5,km/h
v_min,70.5,km/h
abs_n_max,4.21,m
line_tracking_rms,1.20,m
ay_peak,1.55,g
brake_peak,1.23,g
tie_rod_peak,2121,N
drive_power_peak,104,kW
