quantity,value,unit
track,Gelleråsen Arena,-
line,optimal,-
lap_time,79.9,s
track_length,2326.6,m
path_length,2299.5,m
ideal_quasi_steady_lap,76.2,s
v_max,178.7,km/h
v_min,52.0,km/h
abs_n_max,4.46,m
line_tracking_rms,1.36,m
ay_peak,1.53,g
brake_peak,1.17,g
tie_rod_peak,2144,N
drive_power_peak,104,kW
