quantity,value,unit
track,Kinnekulle Ring,-
line,optimal,-
lap_time,75.3,s
track_length,2055.0,m
path_length,2033.5,m
ideal_quasi_steady_lap,73.6,s
v_max,163.4,km/h
v_min,63.7,km/h
abs_n_max,2.93,m
line_tracking_rms,0.70,m
ay_peak,0.91,g
brake_peak,0.65,g
tie_rod_peak,1887,N
drive_power_peak,150,kW
