quantity,value,unit
track,Nürburgring Nordschleife,-
line,ocp,-
ocp_min_time_lower_bound,481.3,s
lap_time,540.7,s
track_length,20717.1,m
path_length,20635.5,m
ideal_quasi_steady_lap,521.9,s
v_max,201.7,km/h
v_min,60.5,km/h
abs_n_max,3.82,m
line_tracking_rms,0.95,m
ay_peak,1.61,g
brake_peak,1.32,g
tie_rod_peak,1704,N
drive_power_peak,88,kW
