quantity,value,unit
track,Ring Knutstorp,-
line,optimal,-
lap_time,74.2,s
track_length,2051.2,m
path_length,2019.2,m
ideal_quasi_steady_lap,70.5,s
v_max,174.7,km/h
v_min,50.5,km/h
abs_n_max,3.45,m
line_tracking_rms,1.24,m
ay_peak,1.49,g
brake_peak,1.07,g
tie_rod_peak,2203,N
drive_power_peak,104,kW
