quantity,value,unit
track,Anderstorp Raceway,-
line,optimal,-
lap_time,136.0,s
track_length,4008.6,m
path_length,3986.3,m
ideal_quasi_steady_lap,134.0,s
v_max,177.6,km/h
v_min,56.0,km/h
abs_n_max,4.15,m
line_tracking_rms,0.81,m
ay_peak,0.90,g
brake_peak,0.76,g
tie_rod_peak,1843,N
drive_power_peak,150,kW
